Date	Month	Day	Year	DateString	Title	IMDB	MovieWikipedia	ReasonWikipedia	Reason	Refreshments	Timestamp	Mention
Apr 13 1970	04	13	1970	1970-04-13	Apollo 13	tt0112384	Apollo_13_(film)	Apollo_13	Date the oxygen tank failed			
Apr 14 1865	04	14	1865	1865-04-14	Killing Lincoln	tt2299248	Killing_Lincoln_(film)	Assassination_of_Abraham_Lincoln	Date of the assassination			
Apr 15 1912	04	15	1912	1912-04-15	Titanic	tt0120338	Titanic_(1997_film)	Sinking_of_the_RMS_Titanic	Date of the sinking			
Apr 19 1995	04	19	1995	1995-04-19	Oklahoma City	tt6333090			Date of the bombing			
Apr 20 1999	04	20	1999	1999-04-20	Bowling for Columbine	tt0310793	Bowling_for_Columbine	Columbine_High_School_massacre	Date of the Columbine shooting			
Apr 20 2010	04	20	2010	2010-04-20	Deepwater Horizon	tt1860357	Deepwater_Horizon_(film)		It exploded			
Apr 20 2020	04	20		0000-04-20	Up in Smoke	tt0078446			4/20			
Apr 26 1920	04	26	1920	1920-04-26	The Man Who Knew Infinity	tt0787524	The_Man_Who_Knew_Infinity_(film)	Srinivasa_Ramanujan#Illness_and_death	Date of Ramanujan's death			
Apr 26 1975	04	26	1975	1975-04-26	Dolemite is my Name	tt8526872	Dolemite_Is_My_Name	Dolemite	Date the movie Dolemite was released in theatres			
Apr 26 1986	04	26	1986	1986-04-26	Chernobyl: The final warning	tt0101569	Chernobyl:_The_Final_Warning	Chernobyl_disaster				
Apr 26 2003	04	26	2003	2003-04-26	127 Hours	tt1542344	127_Hours	Aron_Ralston#Canyoneering_accident	Date Aron Ralston's arm became trapped			
Apr 30 1945	04	30	1945	1945-04-30	Downfall	tt0363163			Date Hitler committed suicide			
May 1 1994	05	01	1994	1994-05-01	Senna	tt1424432	Senna_(film)	Ayrton_Senna#Death	Date of Ayrton Senna's death			
May 1 2020	05	01	2020	2020-05-01	The Wicker Man	tt0070917	The_Wicker_Man	May_Day#Scotland	Date of the May Day festival			
May 3 2020	05	03	2020	2020-05-03	Trumbo	tt3203606	Trumbo_(2015_film)	Dalton_Trumbo#Political_advocacy_and_blacklisting	Date of the start of Trumbo's trial			
May 4 1977	05	04	1977	1977-05-04	Frost/Nixon	tt0870111	Frost/Nixon_(film)	Nixon_interviews	Date of the main Frost/Nixon interview			
May 4 2012	05	04	2012	2012-05-04	The Avengers	tt0848228	The_Avengers_(2012_film)		Date of the Battle of New York			
May 4 1977	05	04		0000-05-04	Star Wars	tt0076759			May the Fourth			
