Date	Month	Day	Year	Title	IMDB	MovieWikipedia	ReasonWikipedia	Reason	Refreshments	Timestamp	Mention	
Feb 1 2005	2	1	2005	Charlie and the Chocolate Factory	tt0367594	Charlie_and_the_Chocolate_Factory_(film)		Date of Factory Visit	Large chocolate bar			
Feb 2 1925	2	2	1925	Balto	tt0112453	Balto_(film)	1925_serum_run_to_Nome	Date the serum was delivered				
Feb 2 1959	2	2	1959	Devil's Pass	tt1905040	Devil%27s_Pass	Dyatlov_Pass_incident					
Feb 2 1992	2	2	1992	Groundhog Day	tt0107048	Groundhog_Day_(film)	Groundhog_Day	Date of Groundhog Day				
Feb 3 1959	2	3	1959	La Bamba	tt0093378	La_Bamba_(film)	The_Day_the_Music_Died	Day of the plane crash				
Feb 4 1974	2	4	1974	Guerrilla: The Taking of Patty Hearst	tt0884842	Guerrilla:_The_Taking_of_Patty_Hearst	Patty_Hearst#Kidnapping	Date of the Kidnapping				
Feb 4 2004	2	4	2004	The Social Network	tt1285016	The_Social_Network	Facebook#2003–2006:_Thefacebook,_Thiel_investment,_and_name_change	Date of Facebook's release				
Feb 6 1840	2	6	1840	Waitangi: What Really Happened	tt1839690		Waitangi_Day	Date of the signing of the treaty of Waitangi				
Feb 7 2029	2	7	2029	Planet of the Apes	tt0133152	Planet_of_the_Apes_(2001_film)						
Feb 9 1964	2	9	1964	I Wanna Hold Your Hand	tt0077714	I_Wanna_Hold_Your_Hand_(film)	The_Ed_Sullivan_Show#The_Beatles	Date of the Beatles' first live appearance in the US				
Feb 13 2012	2	13	2012	Under the Wire	tt8520614			Date journalists enter Syria				
Feb 14 1929	2	14	1929	The St. Valentine's Day Massacre	tt0062301	The_St._Valentine%27s_Day_Massacre_(film)	Saint_Valentine%27s_Day_Massacre	Date of the massacre				
Feb 14 2011	2	14	2011	Valentine's Day	tt0817230	Valentine%27s_Day_(2010_film)	Valentine%27s_Day	Date of Valentine's Day				
Feb 29 2008	2	29	2008	Leap Year	tt1216492	Leap_Year_(2010_film)	Leap_year	Date of a Leap Day				
Mar 5 1979	3	5	1979	Airplane!	tt0080339	Airplane!						
Mar 6 1836	3	6	1836	The Alamo	tt0053580	The_Alamo_(1960_film)	Battle_of_the_Alamo	Date of the Battle of the Alamo				
Mar 6 1836	3	6	1836	The Alamo	tt0318974	The Alamo (2004 film)	Battle_of_the_Alamo	Date of the Battle of the Alamo				
Mar 7 1965	3	7	1965	Selma	tt1020072	Selma_(film)	Selma_to_Montgomery_marches	Day the first march attempted to leave Selma				
Mar 12 1975	3	12	1975	The Shawshank Redemption	tt0111161	The_Shawshank_Redemption		Date Andy Dufresne escapes from prison				
Mar 13 1964	3	13	1964	Fail Safe	tt0058083	Fail_Safe_(1964_film)		Date of the accidental first strike				
Mar 14 2020	3	14		Pi	tt0138704	Pi_(film)	Pi_Day	Pi Day				
Mar 14 2020	3	14		Life of Pi	tt0138704	Life_of_Pi	Pi_Day	Pi Day				
Mar 15 2000	3	15	-44	Julius Caesar	tt0045943	Julius_Caesar_(1953_film)						
Mar 21 2017	3	21	2017	The First Purge	tt6133466	The_First_Purge						
Mar 21 2022	3	21	2022	The Purge	tt2184339	The_Purge_(2013_film)		Date the Purge starts each year				
Mar 21 2023	3	21	2023	The Purge: Anarchy	tt2975578	The_Purge:_Anarchy						
Mar 24 1944	3	24	1944	The Great Escape	tt0057115	The_Great_Escape_(film)	Stalag_Luft_III#The_"Great_Escape"_(1944)	Date of the escape				
Mar 24 1984	3	24	1984	The Breakfast Club	tt0088847	The_Breakfast_Club						
Apr 1 1986	4	1	1986	April Fool's Day	tt0090655							
Apr 3 1933	4	3	33	The Passion of the Christ	tt0335345	The_Passion_of_the_Christ	Crucifixion_of_Jesus	Likely date of Jesus' death, according to scholars				
Apr 3 1882	4	3	1882	The Assassination of Jesse James by the Coward Robert Ford	tt0443680	The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford	Jesse_James#Death	Date of the assassination				
Apr 4 1968	4	4	1968	King In The Wilderness	tt7689960	King_in_the_Wilderness	Assassination_of_Martin_Luther_King_Jr.	Date of MLK's assassination				
Apr 5 2063	4	5	2063	Star Trek: First Contact	tt0117731	Star_Trek:_First_Contact		Date of First Contact				
Apr 6 1917	4	6	1917	1917	tt8579674	1917_(2019_film)						
Apr 8 2009	4	8	2009	Captain Phillips	tt1535109	Captain_Phillips_(film)	Maersk_Alabama_hijacking	Date of the pirate attack				
Apr 11 2020	4	11	2020	The Elephant Man	tt0080678			Date of his death				
Apr 13 1970	4	13	1970	Apollo 13	tt0112384	Apollo_13_(film)	Apollo_13	Date the oxygen tank failed				
Apr 14 1865	4	14	1865	Killing Lincoln	tt2299248	Killing_Lincoln_(film)	Assassination_of_Abraham_Lincoln	Date of the assassination				
Apr 15 1912	4	15	1912	Titanic	tt0120338	Titanic_(1997_film)	Sinking_of_the_RMS_Titanic	Date of the sinking				
Apr 19 1995	4	19	1995	Oklahoma City	tt6333090			Date of the bombing				
Apr 20 1999	4	20	1999	Bowling for Columbine	tt0310793	Bowling_for_Columbine	Columbine_High_School_massacre	Date of the Columbine shooting				
Apr 20 2020	4	20		Up in Smoke	tt0078446			4/20				
Apr 26 1920	4	26	1920	The Man Who Knew Infinity	tt0787524	The_Man_Who_Knew_Infinity_(film)	Srinivasa_Ramanujan#Illness_and_death	Date of Ramanujan's death				
Apr 26 1975	4	26	1975	Dolemite is my Name	tt8526872	Dolemite_Is_My_Name	Dolemite	Date the movie Dolemite was released in theatres				
Apr 26 1986	4	26	1986	Chernobyl: The final warning	tt0101569	Chernobyl:_The_Final_Warning	Chernobyl_disaster					
Apr 26 2003	4	26	2003	127 Hours	tt1542344	127_Hours	Aron_Ralston#Canyoneering_accident	Date Aron Ralston's arm became trapped				
Apr 30 1945	4	30	1945	Downfall	tt0363163			Date Hitler committed suicide				
May 1 1994	5	1	1994	Senna	tt1424432	Senna_(film)	Ayrton_Senna#Death	Date of Ayrton Senna's death				
May 1 2020	5	1	2020	The Wicker Man	tt0070917	The_Wicker_Man	May_Day#Scotland	Date of the May Day festival				
May 3 2020	5	3	2020	Trumbo	tt3203606	Trumbo_(2015_film)	Dalton_Trumbo#Political_advocacy_and_blacklisting	Date of the start of Trumbo's trial				
May 4 1977	5	4	1977	Frost/Nixon	tt0870111	Frost/Nixon_(film)	Nixon_interviews	Date of the main Frost/Nixon interview				
May 4 2012	5	4	2012	The Avengers	tt0848228	The_Avengers_(2012_film)		Date of the Battle of New York				
May 4 1977	5	4		Star Wars	tt0076759			May the Fourth				
May 5 1862	5	5	1862	Cinco de Mayo, La Batalla	tt2553908		Battle_of_Puebla	Date of the battle				
May 6 1937	5	6	1937	The Hindenburg	tt1046932	The_Hindenburg_(film)	Hindenburg_disaster	Date of the Hindenburg's crash				
May 9 2020	5	9	2020	Mars Attacks	tt0116996							
